UF,municipio,zona,secao,qtdEleitoresAptos,qtdComparecimento,dataHoraAbertura,dataHoraEncerramento,idPleito,qtdEleitoresLibCodigo,qtdEleitoresCompBiometrico,modelo
TO,95591,3,240,198,129,20221030T080001,20221030T170043,407,7,97,UE2015
TO,95591,3,17,247,206,20221030T080001,20221030T170646,407,36,205,UE2010
TO,95591,3,248,263,214,20221030T080001,20221030T170435,407,8,140,UE2010
TO,95591,3,126,344,296,20221030T080001,20221030T170025,407,5,282,UE2015
TO,95591,3,227,335,275,20221030T080001,20221030T170003,407,45,267,UE2010
TO,95591,3,25,296,262,20221030T080001,20221030T170130,407,11,259,UE2020
TO,95591,3,219,337,286,20221030T080001,20221030T170252,407,44,274,UE2010
TO,95591,3,171,210,179,20221030T080001,20221030T170045,407,12,171,UE2020
TO,95591,3,183,307,250,20221030T080001,20221030T170248,407,4,226,UE2020
TO,95591,3,120,342,270,20221030T083438,20221030T170027,407,40,261,UE2010
TO,95591,3,163,309,255,20221030T080001,20221030T170002,407,6,235,UE2020
