UF,municipio,zona,secao,qtdEleitoresAptos,qtdComparecimento,dataHoraAbertura,dataHoraEncerramento,idPleito,qtdEleitoresLibCodigo,qtdEleitoresCompBiometrico,modelo
DF,97012,9,179,330,274,20221030T080001,20221030T170013,407,20,260,UE2020
DF,97012,9,426,328,274,20221030T080001,20221030T171021,407,2,256,UE2020
DF,97012,9,117,340,291,20221030T080001,20221030T170241,407,18,270,UE2020
DF,97012,9,65,283,234,20221030T080001,20221030T170349,407,16,220,UE2020
DF,97012,9,300,269,236,20221030T080001,20221030T170421,407,5,236,UE2020
DF,97012,9,329,306,269,20221030T080001,20221030T170530,407,14,245,UE2020
DF,97012,9,40,252,219,20221030T080001,20221030T170229,407,3,213,UE2020
DF,97012,9,370,310,258,20221030T080001,20221030T170759,407,12,258,UE2020
DF,97012,9,139,350,312,20221030T080001,20221030T170210,407,17,295,UE2020
DF,97012,9,378,381,334,20221030T080001,20221030T170130,407,16,319,UE2020
DF,97012,9,421,270,193,20221030T080001,20221030T170122,407,1,175,UE2020
DF,97012,9,37,251,209,20221030T080001,20221030T170240,407,7,201,UE2020
DF,97012,9,146,350,306,20221030T080001,20221030T170521,407,20,286,UE2020
DF,97012,9,160,328,273,20221030T080001,20221030T170411,407,14,272,UE2020
DF,97012,9,267,343,254,20221030T080001,20221030T170650,407,5,187,UE2020
DF,97012,9,398,314,264,20221030T080001,20221030T170534,407,11,264,UE2020
DF,97012,9,214,335,282,20221030T080001,20221030T170450,407,15,210,UE2020
DF,97012,9,154,328,279,20221030T080001,20221030T170234,407,25,272,UE2020
DF,97012,9,305,305,216,20221030T080001,20221030T170506,407,4,214,UE2020
DF,97012,9,298,308,261,20221030T080001,20221030T170404,407,6,238,UE2020
DF,97012,9,200,345,294,20221030T080001,20221030T170657,407,10,276,UE2020
DF,97012,9,136,335,287,20221030T080001,20221030T170238,407,23,261,UE2020
DF,97012,9,98,278,236,20221030T080001,20221030T170539,407,15,225,UE2020
DF,97012,9,295,330,275,20221030T080001,20221030T170519,407,10,262,UE2020
DF,97012,9,164,331,291,20221030T080001,20221030T170533,407,17,286,UE2020
DF,97012,9,211,329,276,20221030T080154,20221030T170200,407,10,263,UE2020
DF,97012,9,15,417,345,20221030T080001,20221030T170304,407,18,325,UE2020
DF,97012,9,124,335,289,20221030T080001,20221030T170529,407,20,268,UE2020
DF,97012,9,197,297,239,20221030T080001,20221030T170352,407,9,230,UE2020
